Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3104,Nutrient potash K2O (total),2002,2002,kg/ha,0.01,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3104,Nutrient potash K2O (total),2003,2003,kg/ha,0.01,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3104,Nutrient potash K2O (total),2004,2004,kg/ha,0.03,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3104,Nutrient potash K2O (total),2005,2005,kg/ha,0.03,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3104,Nutrient potash K2O (total),2006,2006,kg/ha,0.68,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3104,Nutrient potash K2O (total),2007,2007,kg/ha,0.18,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3104,Nutrient potash K2O (total),2008,2008,kg/ha,0.45,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3104,Nutrient potash K2O (total),2009,2009,kg/ha,0.07,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3104,Nutrient potash K2O (total),2010,2010,kg/ha,0.13,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3104,Nutrient potash K2O (total),2011,2011,kg/ha,0.2,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3104,Nutrient potash K2O (total),2012,2012,kg/ha,0.43,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3104,Nutrient potash K2O (total),2013,2013,kg/ha,0.95,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3104,Nutrient potash K2O (total),2014,2014,kg/ha,1.76,Fc,Calculated data
