Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2002,2002,kg/ha,0.38,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2003,2003,kg/ha,0.21,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2004,2004,kg/ha,0.31,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2005,2005,kg/ha,0.82,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2006,2006,kg/ha,1.14,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2007,2007,kg/ha,0.65,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2008,2008,kg/ha,0.77,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2009,2009,kg/ha,0.78,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2010,2010,kg/ha,1.44,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2011,2011,kg/ha,1.91,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2012,2012,kg/ha,2.04,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2013,2013,kg/ha,2.67,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2014,2014,kg/ha,3.59,Fc,Calculated data
EF,Fertilizers,45,Comoros,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2002,2002,kg/ha,0,Fc,Calculated data
EF,Fertilizers,45,Comoros,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2003,2003,kg/ha,0,Fc,Calculated data
EF,Fertilizers,45,Comoros,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2004,2004,kg/ha,0,Fc,Calculated data
EF,Fertilizers,45,Comoros,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2005,2005,kg/ha,0,Fc,Calculated data
EF,Fertilizers,45,Comoros,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2006,2006,kg/ha,0,Fc,Calculated data
EF,Fertilizers,45,Comoros,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2007,2007,kg/ha,0,Fc,Calculated data
EF,Fertilizers,45,Comoros,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2008,2008,kg/ha,0,Fc,Calculated data
EF,Fertilizers,45,Comoros,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2009,2009,kg/ha,0,Fc,Calculated data
EF,Fertilizers,45,Comoros,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2010,2010,kg/ha,0,Fc,Calculated data
EF,Fertilizers,45,Comoros,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2011,2011,kg/ha,0,Fc,Calculated data
EF,Fertilizers,45,Comoros,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2012,2012,kg/ha,0,Fc,Calculated data
EF,Fertilizers,45,Comoros,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2013,2013,kg/ha,0,Fc,Calculated data
EF,Fertilizers,45,Comoros,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2014,2014,kg/ha,0,Fc,Calculated data
EF,Fertilizers,72,Djibouti,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2002,2002,kg/ha,0,Fc,Calculated data
EF,Fertilizers,72,Djibouti,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2003,2003,kg/ha,0,Fc,Calculated data
EF,Fertilizers,72,Djibouti,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2004,2004,kg/ha,0,Fc,Calculated data
EF,Fertilizers,72,Djibouti,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2005,2005,kg/ha,0,Fc,Calculated data
EF,Fertilizers,72,Djibouti,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2006,2006,kg/ha,0,Fc,Calculated data
EF,Fertilizers,72,Djibouti,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2007,2007,kg/ha,0,Fc,Calculated data
EF,Fertilizers,72,Djibouti,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2008,2008,kg/ha,0,Fc,Calculated data
EF,Fertilizers,72,Djibouti,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2009,2009,kg/ha,0,Fc,Calculated data
EF,Fertilizers,72,Djibouti,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2010,2010,kg/ha,0,Fc,Calculated data
EF,Fertilizers,72,Djibouti,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2011,2011,kg/ha,0,Fc,Calculated data
