Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2002,2002,kg/ha,0.59,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2003,2003,kg/ha,0,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2004,2004,kg/ha,0.46,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2005,2005,kg/ha,1.69,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2006,2006,kg/ha,0.49,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2007,2007,kg/ha,0.55,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2008,2008,kg/ha,0.29,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2009,2009,kg/ha,0.46,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2010,2010,kg/ha,0.99,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2011,2011,kg/ha,1.91,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2012,2012,kg/ha,1.85,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2013,2013,kg/ha,2.08,Fc,Calculated data
EF,Fertilizers,29,Burundi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2014,2014,kg/ha,3.07,Fc,Calculated data
EF,Fertilizers,45,Comoros,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2002,2002,kg/ha,0,Fc,Calculated data
EF,Fertilizers,45,Comoros,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2003,2003,kg/ha,0,Fc,Calculated data
EF,Fertilizers,45,Comoros,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2004,2004,kg/ha,0,Fc,Calculated data
EF,Fertilizers,45,Comoros,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2005,2005,kg/ha,0,Fc,Calculated data
EF,Fertilizers,45,Comoros,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2006,2006,kg/ha,0,Fc,Calculated data
EF,Fertilizers,45,Comoros,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2007,2007,kg/ha,0,Fc,Calculated data
