Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
RM,Machinery,29,Burundi,5116,In Use,2455004,Combine harvesters - threshers,1982,1982,No,1,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455004,Combine harvesters - threshers,1983,1983,No,1,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455004,Combine harvesters - threshers,1984,1984,No,1,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455004,Combine harvesters - threshers,1985,1985,No,1,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455004,Combine harvesters - threshers,1986,1986,No,1,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455004,Combine harvesters - threshers,1987,1987,No,1,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455004,Combine harvesters - threshers,1988,1988,No,1,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455004,Combine harvesters - threshers,1989,1989,No,1,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455004,Combine harvesters - threshers,1990,1990,No,2,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,29,Burundi,5116,In Use,2455004,Combine harvesters - threshers,1991,1991,No,2,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,29,Burundi,5116,In Use,2455004,Combine harvesters - threshers,1992,1992,No,2,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,178,Eritrea,5116,In Use,2455004,Combine harvesters - threshers,1993,1993,No,15,F,FAO estimate
RM,Machinery,178,Eritrea,5116,In Use,2455004,Combine harvesters - threshers,1994,1994,No,15,F,FAO estimate
RM,Machinery,178,Eritrea,5116,In Use,2455004,Combine harvesters - threshers,1995,1995,No,15,F,FAO estimate
RM,Machinery,178,Eritrea,5116,In Use,2455004,Combine harvesters - threshers,1996,1996,No,16,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,178,Eritrea,5116,In Use,2455004,Combine harvesters - threshers,1997,1997,No,47,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,178,Eritrea,5116,In Use,2455004,Combine harvesters - threshers,1998,1998,No,80,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,178,Eritrea,5116,In Use,2455004,Combine harvesters - threshers,1999,1999,No,100,F,FAO estimate
RM,Machinery,178,Eritrea,5116,In Use,2455004,Combine harvesters - threshers,2000,2000,No,125,F,FAO estimate
RM,Machinery,62,Ethiopia PDR,5116,In Use,2455004,Combine harvesters - threshers,1961,1961,No,10,F,FAO estimate
RM,Machinery,62,Ethiopia PDR,5116,In Use,2455004,Combine harvesters - threshers,1962,1962,No,10,F,FAO estimate
RM,Machinery,62,Ethiopia PDR,5116,In Use,2455004,Combine harvesters - threshers,1963,1963,No,10,F,FAO estimate
RM,Machinery,62,Ethiopia PDR,5116,In Use,2455004,Combine harvesters - threshers,1964,1964,No,10,F,FAO estimate
RM,Machinery,62,Ethiopia PDR,5116,In Use,2455004,Combine harvesters - threshers,1965,1965,No,10,F,FAO estimate
RM,Machinery,62,Ethiopia PDR,5116,In Use,2455004,Combine harvesters - threshers,1966,1966,No,15,F,FAO estimate
RM,Machinery,62,Ethiopia PDR,5116,In Use,2455004,Combine harvesters - threshers,1967,1967,No,20,F,FAO estimate
RM,Machinery,62,Ethiopia PDR,5116,In Use,2455004,Combine harvesters - threshers,1968,1968,No,30,F,FAO estimate
RM,Machinery,62,Ethiopia PDR,5116,In Use,2455004,Combine harvesters - threshers,1969,1969,No,50,F,FAO estimate
RM,Machinery,62,Ethiopia PDR,5116,In Use,2455004,Combine harvesters - threshers,1970,1970,No,77,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,62,Ethiopia PDR,5116,In Use,2455004,Combine harvesters - threshers,1971,1971,No,103,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,62,Ethiopia PDR,5116,In Use,2455004,Combine harvesters - threshers,1972,1972,No,119,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1961,1961,No,900,F,FAO estimate
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1962,1962,No,900,F,FAO estimate
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1963,1963,No,936,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1964,1964,No,927,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1965,1965,No,910,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1966,1966,No,800,F,FAO estimate
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1967,1967,No,700,F,FAO estimate
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1968,1968,No,621,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1969,1969,No,776,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1970,1970,No,639,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1971,1971,No,558,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1972,1972,No,548,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1973,1973,No,480,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1974,1974,No,462,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1975,1975,No,433,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1976,1976,No,469,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1977,1977,No,379,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1978,1978,No,364,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1979,1979,No,395,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1980,1980,No,413,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1981,1981,No,305,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1982,1982,No,299,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1983,1983,No,553,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1984,1984,No,445,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1985,1985,No,440,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1986,1986,No,589,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1987,1987,No,691,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1988,1988,No,691,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1989,1989,No,656,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1990,1990,No,650,F,FAO estimate
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1991,1991,No,650,F,FAO estimate
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1992,1992,No,650,F,FAO estimate
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1993,1993,No,680,F,FAO estimate
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1994,1994,No,700,F,FAO estimate
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1995,1995,No,720,F,FAO estimate
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1996,1996,No,730,F,FAO estimate
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1997,1997,No,750,F,FAO estimate
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1998,1998,No,750,F,FAO estimate
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,1999,1999,No,760,F,FAO estimate
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,2000,2000,No,780,F,FAO estimate
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,2001,2001,No,800,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,114,Kenya,5116,In Use,2455004,Combine harvesters - threshers,2002,2002,No,820,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,129,Madagascar,5116,In Use,2455004,Combine harvesters - threshers,1961,1961,No,35,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,129,Madagascar,5116,In Use,2455004,Combine harvesters - threshers,1962,1962,No,37,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,129,Madagascar,5116,In Use,2455004,Combine harvesters - threshers,1963,1963,No,40,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,129,Madagascar,5116,In Use,2455004,Combine harvesters - threshers,1964,1964,No,45,I,"Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
RM,Machinery,129,Madagascar,5116,In Use,2455004,Combine harvesters - threshers,1965,1965,No,55,I,"Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
RM,Machinery,129,Madagascar,5116,In Use,2455004,Combine harvesters - threshers,1966,1966,No,65,F,FAO estimate
RM,Machinery,129,Madagascar,5116,In Use,2455004,Combine harvesters - threshers,1967,1967,No,78,I,"Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
RM,Machinery,129,Madagascar,5116,In Use,2455004,Combine harvesters - threshers,1968,1968,No,72,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,129,Madagascar,5116,In Use,2455004,Combine harvesters - threshers,1969,1969,No,74,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,129,Madagascar,5116,In Use,2455004,Combine harvesters - threshers,1970,1970,No,78,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,129,Madagascar,5116,In Use,2455004,Combine harvesters - threshers,1971,1971,No,84,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,129,Madagascar,5116,In Use,2455004,Combine harvesters - threshers,1972,1972,No,93,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,226,Uganda,5116,In Use,2455004,Combine harvesters - threshers,1961,1961,No,2,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,226,Uganda,5116,In Use,2455004,Combine harvesters - threshers,1962,1962,No,2,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,226,Uganda,5116,In Use,2455004,Combine harvesters - threshers,1963,1963,No,2,F,FAO estimate
RM,Machinery,226,Uganda,5116,In Use,2455004,Combine harvesters - threshers,1964,1964,No,3,F,FAO estimate
RM,Machinery,226,Uganda,5116,In Use,2455004,Combine harvesters - threshers,1965,1965,No,4,F,FAO estimate
RM,Machinery,226,Uganda,5116,In Use,2455004,Combine harvesters - threshers,1966,1966,No,5,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,226,Uganda,5116,In Use,2455004,Combine harvesters - threshers,1967,1967,No,5,F,FAO estimate
RM,Machinery,226,Uganda,5116,In Use,2455004,Combine harvesters - threshers,1968,1968,No,6,F,FAO estimate
RM,Machinery,226,Uganda,5116,In Use,2455004,Combine harvesters - threshers,1969,1969,No,6,F,FAO estimate
RM,Machinery,226,Uganda,5116,In Use,2455004,Combine harvesters - threshers,1970,1970,No,7,F,FAO estimate
RM,Machinery,226,Uganda,5116,In Use,2455004,Combine harvesters - threshers,1971,1971,No,8,F,FAO estimate
RM,Machinery,226,Uganda,5116,In Use,2455004,Combine harvesters - threshers,1972,1972,No,8,F,FAO estimate
RM,Machinery,226,Uganda,5116,In Use,2455004,Combine harvesters - threshers,1973,1973,No,9,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,226,Uganda,5116,In Use,2455004,Combine harvesters - threshers,1974,1974,No,9,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,226,Uganda,5116,In Use,2455004,Combine harvesters - threshers,1975,1975,No,9,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,226,Uganda,5116,In Use,2455004,Combine harvesters - threshers,1976,1976,No,9,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,226,Uganda,5116,In Use,2455004,Combine harvesters - threshers,1977,1977,No,9,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,251,Zambia,5116,In Use,2455004,Combine harvesters - threshers,1961,1961,No,40,F,FAO estimate
RM,Machinery,251,Zambia,5116,In Use,2455004,Combine harvesters - threshers,1962,1962,No,45,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,181,Zimbabwe,5116,In Use,2455004,Combine harvesters - threshers,1961,1961,No,150,F,FAO estimate
RM,Machinery,181,Zimbabwe,5116,In Use,2455004,Combine harvesters - threshers,1962,1962,No,177,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,181,Zimbabwe,5116,In Use,2455004,Combine harvesters - threshers,1963,1963,No,180,F,FAO estimate
RM,Machinery,181,Zimbabwe,5116,In Use,2455004,Combine harvesters - threshers,1964,1964,No,200,F,FAO estimate
RM,Machinery,181,Zimbabwe,5116,In Use,2455004,Combine harvesters - threshers,1965,1965,No,220,F,FAO estimate
RM,Machinery,181,Zimbabwe,5116,In Use,2455004,Combine harvesters - threshers,1966,1966,No,240,F,FAO estimate
RM,Machinery,181,Zimbabwe,5116,In Use,2455004,Combine harvesters - threshers,1967,1967,No,260,F,FAO estimate
RM,Machinery,181,Zimbabwe,5116,In Use,2455004,Combine harvesters - threshers,1968,1968,No,280,F,FAO estimate
RM,Machinery,181,Zimbabwe,5116,In Use,2455004,Combine harvesters - threshers,1969,1969,No,300,F,FAO estimate
RM,Machinery,181,Zimbabwe,5116,In Use,2455004,Combine harvesters - threshers,1970,1970,No,320,F,FAO estimate
RM,Machinery,181,Zimbabwe,5116,In Use,2455004,Combine harvesters - threshers,1971,1971,No,360,F,FAO estimate
RM,Machinery,181,Zimbabwe,5116,In Use,2455004,Combine harvesters - threshers,1972,1972,No,380,F,FAO estimate
RM,Machinery,181,Zimbabwe,5116,In Use,2455004,Combine harvesters - threshers,1973,1973,No,410,F,FAO estimate
RM,Machinery,181,Zimbabwe,5116,In Use,2455004,Combine harvesters - threshers,1974,1974,No,440,F,FAO estimate
