Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EP,Pesticides,29,Burundi,5159,Average use per area of cropland,1357,Pesticides,1992,1992,kg/ha,0.07,Fc,Calculated data
EP,Pesticides,29,Burundi,5159,Average use per area of cropland,1357,Pesticides,1993,1993,kg/ha,0.07,Fc,Calculated data
EP,Pesticides,29,Burundi,5159,Average use per area of cropland,1357,Pesticides,1994,1994,kg/ha,0.06,Fc,Calculated data
EP,Pesticides,29,Burundi,5159,Average use per area of cropland,1357,Pesticides,1995,1995,kg/ha,0.11,Fc,Calculated data
EP,Pesticides,29,Burundi,5159,Average use per area of cropland,1357,Pesticides,1996,1996,kg/ha,0.16,Fc,Calculated data
EP,Pesticides,29,Burundi,5159,Average use per area of cropland,1357,Pesticides,1997,1997,kg/ha,0.09,Fc,Calculated data
EP,Pesticides,29,Burundi,5159,Average use per area of cropland,1357,Pesticides,1998,1998,kg/ha,0.08,Fc,Calculated data
EP,Pesticides,29,Burundi,5159,Average use per area of cropland,1357,Pesticides,1999,1999,kg/ha,0.11,Fc,Calculated data
EP,Pesticides,29,Burundi,5159,Average use per area of cropland,1357,Pesticides,2000,2000,kg/ha,0.08,Fc,Calculated data
EP,Pesticides,29,Burundi,5159,Average use per area of cropland,1357,Pesticides,2001,2001,kg/ha,0.05,Fc,Calculated data
EP,Pesticides,29,Burundi,5159,Average use per area of cropland,1357,Pesticides,2002,2002,kg/ha,0.07,Fc,Calculated data
EP,Pesticides,29,Burundi,5159,Average use per area of cropland,1357,Pesticides,2003,2003,kg/ha,0.2,Fc,Calculated data
EP,Pesticides,29,Burundi,5159,Average use per area of cropland,1357,Pesticides,2004,2004,kg/ha,0.37,Fc,Calculated data
EP,Pesticides,29,Burundi,5159,Average use per area of cropland,1357,Pesticides,2005,2005,kg/ha,0.23,Fc,Calculated data
EP,Pesticides,29,Burundi,5159,Average use per area of cropland,1357,Pesticides,2006,2006,kg/ha,0.15,Fc,Calculated data
EP,Pesticides,29,Burundi,5159,Average use per area of cropland,1357,Pesticides,2007,2007,kg/ha,0.33,Fc,Calculated data
EP,Pesticides,29,Burundi,5159,Average use per area of cropland,1357,Pesticides,2008,2008,kg/ha,0.35,Fc,Calculated data
EP,Pesticides,29,Burundi,5159,Average use per area of cropland,1357,Pesticides,2009,2009,kg/ha,0.13,Fc,Calculated data
EP,Pesticides,29,Burundi,5159,Average use per area of cropland,1357,Pesticides,2010,2010,kg/ha,0.19,Fc,Calculated data
EP,Pesticides,29,Burundi,5159,Average use per area of cropland,1357,Pesticides,2011,2011,kg/ha,0.05,Fc,Calculated data
