Area,Year,Value
Burundi,1901,1087.94498
Burundi,1902,1098.82923
Burundi,1903,1339.63025
Burundi,1904,1196.28061
Burundi,1905,1252.12443
Burundi,1906,1068.97691
Burundi,1907,1197.64843
Burundi,1908,1111.01292
Burundi,1909,891.08963
Burundi,1910,1203.20038
Burundi,1911,1135.16179
Burundi,1912,1365.64406
Burundi,1913,1114.28137
Burundi,1914,1085.13479
Burundi,1915,1121.95215
Burundi,1916,1172.65004
Burundi,1917,1148.42879
Burundi,1918,1046.00827
Burundi,1919,1266.21987
Burundi,1920,1200.52183
Burundi,1921,817.98605
Burundi,1922,877.30753
Burundi,1923,1140.76965
Burundi,1924,1035.75742
Burundi,1925,1318.5731
Burundi,1926,1176.74552
Burundi,1927,1111.77217
Burundi,1928,910.48083
Burundi,1929,1069.42735
Burundi,1930,1366.46777
Burundi,1931,1189.92866
Burundi,1932,1211.89073
Burundi,1933,1110.8087
Burundi,1934,1072.32554
Burundi,1935,1141.23733
Burundi,1936,1260.93047
Burundi,1937,1520.76878
Burundi,1938,1082.17596
Burundi,1939,1144.89918
Burundi,1940,1230.98403
Burundi,1941,1297.18092
Burundi,1942,1169.0837
Burundi,1943,1071.40383
Burundi,1944,1259.10754
Burundi,1945,1130.30498
Burundi,1946,1297.25744
Burundi,1947,1257.00998
Burundi,1948,1094.8462
Burundi,1949,1070.58781
Burundi,1950,1214.13102
Burundi,1951,1403.01071
Burundi,1952,1109.17639
Burundi,1953,1266.95236
Burundi,1954,1086.86072
Burundi,1955,1152.23346
Burundi,1956,1161.53423
Burundi,1957,1261.45784
Burundi,1958,1082.19227
Burundi,1959,1137.62824
Burundi,1960,1090.10864
Burundi,1961,1317.02044
Burundi,1962,1397.47918
Burundi,1963,1533.44584
Burundi,1964,1213.2486
Burundi,1965,1198.87
Burundi,1966,1239.91383
Burundi,1967,1396.56306
Burundi,1968,1325.45344
Burundi,1969,1140.72955
Burundi,1970,1308.43307
Burundi,1971,1351.57452
Burundi,1972,1306.38689
Burundi,1973,1167.70316
Burundi,1974,1219.1078
Burundi,1975,1183.55286
Burundi,1976,1055.39299
Burundi,1977,1380.77551
Burundi,1978,1321.38259
Burundi,1979,1299.1523
Burundi,1980,1182.07848
Burundi,1981,1317.59305
Burundi,1982,1492.77554
Burundi,1983,1219.75636
Burundi,1984,1053.26673
Burundi,1985,1238.05764
Burundi,1986,1262.96373
Burundi,1987,1229.58568
Burundi,1988,1333.57712
Burundi,1989,1241.94121
Burundi,1990,1257.14052
Burundi,1991,1213.51169
Burundi,1992,1162.49496
Burundi,1993,1039.66568
Burundi,1994,1242.5806
Burundi,1995,1123.79806
Burundi,1996,1031.9543
Burundi,1997,1375.55113
Burundi,1998,1258.37195
Burundi,1999,1214.69061
Burundi,2000,1074.31943
Burundi,2001,1359.1521
Burundi,2002,1233.64765
Burundi,2003,1306.0156
Burundi,2004,846.77428
Burundi,2005,1084.35236
Burundi,2006,1334.12446
Burundi,2007,1294.62781
Burundi,2008,1199.31267
Burundi,2009,1252.0258
Burundi,2010,1296.80687
Burundi,2011,1499.2366
Burundi,2012,1010.58292
Burundi,2013,1300.78892
Burundi,2014,1249.46147
Burundi,2015,1318.45245
Comoros,1901,1667.7823
Comoros,1902,1623.9429
Comoros,1903,1845.886
Comoros,1904,1854.224
Comoros,1905,1652.343
Comoros,1906,1886.1605
Comoros,1907,1545.4424
Comoros,1908,1744.3522
Comoros,1909,1869.0901
Comoros,1910,1794.0536
Comoros,1911,1742.5685
Comoros,1912,1841.7027
Comoros,1913,1744.069
Comoros,1914,1698.2193
Comoros,1915,1607.7896
Comoros,1916,2337.9155
Comoros,1917,1657.7048
Comoros,1918,1803.0134
Comoros,1919,1534.4504
Comoros,1920,1796.9555
Comoros,1921,1799.0967
