Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1961,1961,No,2,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1962,1962,No,2,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1963,1963,No,2,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1964,1964,No,2,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1965,1965,No,2,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1966,1966,No,2,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1967,1967,No,3,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1968,1968,No,3,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1969,1969,No,3,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1970,1970,No,4,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1971,1971,No,4,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1972,1972,No,3,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1973,1973,No,4,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1974,1974,No,5,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1975,1975,No,10,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1976,1976,No,15,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1977,1977,No,20,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1978,1978,No,80,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1979,1979,No,85,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1980,1980,No,90,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1981,1981,No,95,F,FAO estimate
