Year,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Madagascar,Malawi,Mauritius,Mozambique,Rwanda,South Sudan,Tanzania,Uganda,Zambia,Zimbabwe
1990,702.8798967,1034.101551,2004.711854,,421.3788236,1538.537488,1068.491219,480.9991622,4774.348669,244.6592081,559.0015463,,951.7795331,505.46098,1513.668718,1675.806681
1991,745.1418859,981.587493,1929.094296,,390.2505294,1560.787337,1004.584542,528.9872961,5096.760048,258.4720788,577.7802886,,971.2693668,532.9114943,1523.16842,1781.8899
1992,753.6307601,1058.214107,1946.381851,758.8845382,351.6378224,1533.847389,1009.371303,496.8073653,5479.869135,242.0012139,658.3219234,,966.0707967,545.1832494,1492.426961,1620.973671
1993,709.5957425,1084.099189,1850.405301,887.0322974,392.9750336,1527.538271,1023.911937,556.4281889,5825.886673,259.0642115,658.8480069,,967.9858917,585.1006583,1590.968004,1642.716521
1994,685.0465041,1019.249047,1860.426703,1102.998181,399.9588979,1553.211003,1013.677772,507.9370143,6109.821317,270.1660031,351.2003828,,972.3271669,615.6256322,1446.803168,1797.797709
1995,634.1776899,1048.324974,1809.653545,1156.421043,419.1141595,1607.164519,1020.603083,598.4269158,6448.993211,272.2719658,491.1111511,,997.5641161,678.9668492,1479.696374,1805.166491
1996,586.320225,1025.139004,1730.362932,1275.733325,464.8293016,1655.849353,1028.940596,640.9537997,6863.107641,341.083211,546.5653075,,1032.671846,730.8997462,1556.583483,1993.706496
1997,580.0572127,1055.910868,1701.204966,1380.270049,473.0373688,1645.059636,1051.534939,658.9148194,7285.789618,374.1014601,593.3984253,,1059.142265,757.6033449,1597.314003,2048.093791
1998,606.8317419,1052.886277,1671.655631,1392.291542,448.2722712,1670.563383,1070.359231,671.1379005,7730.246044,412.2608207,603.2679606,,1082.47826,778.9578541,1562.570077,2097.229925
1999,600.9020303,1061.830321,1685.948862,1380.377593,464.9588947,1688.130942,1102.115183,680.5481666,7951.720472,439.8141697,593.7890195,,1123.249849,828.0929512,1613.319256,2081.930112
2000,597.7181893,1173.817526,1689.299473,1330.93985,490.0363908,1689.951468,1144.578853,686.3825764,8780.062692,445.1502637,622.5958383,,1174.301211,845.7010509,1666.884356,2037.529706
2001,609.1447542,1198.671086,1726.776895,1436.292218,527.3172499,1745.458847,1203.397066,648.8648129,9138.775495,498.8265646,665.7844331,,1239.142615,879.9554249,1746.929533,2089.362307
2002,628.1992591,1215.644913,1766.622289,1453.333656,528.06452,1734.061105,1034.924625,652.2987927,9409.61027,535.1644475,746.6084541,,1311.458527,938.8819124,1804.284491,1911.981621
2003,613.6300389,1236.16601,1829.128163,1395.231872,512.0775458,1771.60072,1124.373507,684.8543688,9876.46913,564.3082393,765.3915035,,1389.641977,984.8672694,1916.105741,1601.597426
2004,639.8742272,1264.156135,1920.612134,1409.043034,580.921474,1861.732531,1180.242607,721.9696787,10664.04277,606.7713797,831.5255923,,1495.394346,1043.839132,2051.607433,1532.64379
2005,644.7866027,1310.265382,2012.599574,1450.333417,652.1060614,1980.18918,1237.201112,748.0958764,11078.02723,661.0487226,920.766713,,1620.583573,1106.501459,2210.472268,1472.877759
2006,677.3826655,1353.519441,2138.631747,1444.85803,724.9016942,2114.259743,1300.704121,783.9016678,12335.63549,726.7897526,1012.478964,,1695.633034,1220.45138,2392.690039,1445.005143
2007,704.4398589,1367.48884,2269.907481,1473.074941,807.4365645,2256.26789,1378.26419,855.7850727,13328.34086,778.3873547,1090.846245,,1830.158435,1312.161474,2589.897156,1407.216442
2008,729.4627833,1366.64755,2408.405623,1329.644373,888.1424517,2243.288394,1463.094812,910.9173989,14270.16945,823.7864481,1203.148258,3570.761057,1908.73738,1405.110656,2768.423449,1161.389245
2009,735.7012343,1370.466884,2506.467964,1366.590931,948.2249523,2271.887012,1375.638427,964.3149381,14815.80799,857.3459027,1253.737805,3620.00879,1963.591505,1460.071148,2961.99056,1248.901134
2010,748.3806576,1383.929694,2581.41661,1387.714663,1052.104262,2425.760617,1357.654563,1012.067458,15616.00684,899.1987281,1325.781621,3713.258487,2048.293593,1508.977415,3212.941881,1430.860889
2011,771.5094237,1414.611723,2705.405589,1510.458929,1162.783317,2556.870916,1367.543082,1051.185996,16561.77098,954.7991162,1421.185929,3482.048396,2186.131582,1628.901607,3361.112069,1663.456376
2012,793.0801921,1448.427686,2838.674473,,1253.243318,2650.443328,1396.203885,1058.912262,17408.1887,1012.437187,1535.482646,1846.74181,2268.866465,1665.263063,3574.05852,1882.237978
2013,818.2852133,1487.110507,2976.37808,,1371.981671,2776.526567,1411.918029,1099.200591,18243.51278,1070.663568,1592.823423,2054.725606,2397.212978,1694.444174,3701.392674,1967.474077
2014,846.0589388,1508.556353,3156.965264,,1500.590823,2900.027156,1445.281195,1148.588298,19230.65752,1137.479529,1701.785588,2095.79453,2530.361497,1755.460933,3826.464402,2010.38239
2015,796.9944154,1504.525981,3342.477326,,1632.345013,3019.193625,1465.423545,1159.172993,20085.1709,1190.601393,1826.955687,1925.203224,2652.195655,1802.086206,3861.989229,2013.167117
2016,777.9565012,1522.255706,,,1734.918233,3155.94041,1506.009345,1169.313739,21087.74915,1217.111397,1913.402063,,2786.666719,1848.786757,3922.335309,2006.374724
