Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,29,Burundi,5419,Yield,56,Maize,1961,1961,hg/ha,9596,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1962,1962,hg/ha,10322,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1963,1963,hg/ha,9081,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1964,1964,hg/ha,10158,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1965,1965,hg/ha,10084,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1966,1966,hg/ha,9986,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1967,1967,hg/ha,10368,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1968,1968,hg/ha,10714,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1969,1969,hg/ha,11161,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1970,1970,hg/ha,11607,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1971,1971,hg/ha,11863,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1972,1972,hg/ha,10676,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1973,1973,hg/ha,11507,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1974,1974,hg/ha,9875,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1975,1975,hg/ha,11428,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1976,1976,hg/ha,11328,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1977,1977,hg/ha,11475,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1978,1978,hg/ha,13333,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1979,1979,hg/ha,11283,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1980,1980,hg/ha,10769,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1981,1981,hg/ha,11231,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1982,1982,hg/ha,11077,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1983,1983,hg/ha,11385,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1984,1984,hg/ha,10859,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1985,1985,hg/ha,12077,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1986,1986,hg/ha,12424,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1987,1987,hg/ha,12654,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1988,1988,hg/ha,12836,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1989,1989,hg/ha,13645,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1990,1990,hg/ha,13540,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1991,1991,hg/ha,13887,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1992,1992,hg/ha,14218,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1993,1993,hg/ha,14342,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1994,1994,hg/ha,12276,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1995,1995,hg/ha,12752,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1996,1996,hg/ha,13133,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1997,1997,hg/ha,12608,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1998,1998,hg/ha,11463,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,1999,1999,hg/ha,11192,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,2000,2000,hg/ha,10521,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,2001,2001,hg/ha,10817,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,2002,2002,hg/ha,10931,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,2003,2003,hg/ha,10670,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,2004,2004,hg/ha,10807,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,2005,2005,hg/ha,10833,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,2006,2006,hg/ha,10159,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,2007,2007,hg/ha,10168,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,2008,2008,hg/ha,10041,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,2009,2009,hg/ha,10032,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,2010,2010,hg/ha,10584,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,2011,2011,hg/ha,11093,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,2012,2012,hg/ha,11763,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,2013,2013,hg/ha,13218,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,56,Maize,2014,2014,hg/ha,13145,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1961,1961,hg/ha,10455,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1962,1962,hg/ha,10952,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1963,1963,hg/ha,10222,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1964,1964,hg/ha,10400,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1965,1965,hg/ha,10714,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1966,1966,hg/ha,11000,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1967,1967,hg/ha,10938,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1968,1968,hg/ha,10938,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1969,1969,hg/ha,10606,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1970,1970,hg/ha,10606,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1971,1971,hg/ha,10606,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1972,1972,hg/ha,10588,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1973,1973,hg/ha,10571,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1974,1974,hg/ha,10556,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1975,1975,hg/ha,10526,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1976,1976,hg/ha,10500,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1977,1977,hg/ha,10698,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1978,1978,hg/ha,10000,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1979,1979,hg/ha,10000,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1980,1980,hg/ha,10000,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1981,1981,hg/ha,10000,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1982,1982,hg/ha,10000,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1983,1983,hg/ha,12500,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1984,1984,hg/ha,17250,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1985,1985,hg/ha,14792,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1986,1986,hg/ha,16625,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1987,1987,hg/ha,24025,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1988,1988,hg/ha,24022,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1989,1989,hg/ha,24035,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1990,1990,hg/ha,23800,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1991,1991,hg/ha,23361,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1992,1992,hg/ha,23182,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1993,1993,hg/ha,23003,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1994,1994,hg/ha,22824,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1995,1995,hg/ha,22644,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1996,1996,hg/ha,22448,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1997,1997,hg/ha,21765,Fc,Calculated data
QC,Crops,45,Comoros,5419,Yield,56,Maize,1998,1998,hg/ha,19354,Fc,Calculated data
